date,Germany,Euro area (EA20),Spain,France,Italy
1995-QQ1,1983157.1,5761537.8,469819.9,1220222.5,900369.6
1996-QQ1,1975310.2,6006587.4,506096.6,1259759.1,1035611.2
1997-QQ1,1958620.9,6153972,520533.1,1279326.8,1099046.2
1998-QQ1,2008653.2,6404094.1,552906.7,1337784.3,1136926.3
1999-QQ1,2077240,6704260.9,595242,1395148,1177549.7
2000-QQ1,2129660,7060574.8,647569,1473517,1244744.2
2001-QQ1,2195530,7394455.3,700958,1530071,1308623.1
2002-QQ1,2223360,7648497.7,749744,1578330,1355522.3
2003-QQ1,2240810,7875580.7,802683,1622313,1399386
2004-QQ1,2293040,8213927.2,860059,1696108,1457356.2
2005-QQ1,2325710,8519767.4,928122,1762048,1499073.1
2006-QQ1,2426180,8981259.8,1004976,1846021,1559864.2
2007-QQ1,2542220,9480602.8,1077541,1937876,1621714.5
2008-QQ1,2589280,9719969.9,1112432,1990000,1643718.8
2009-QQ1,2493970,9381356.2,1072990,1935840,1584106.8
2010-QQ1,2615260,9645056.6,1077145,1996075,1617944.7
2011-QQ1,2746910,9920813,1068690,2062141,1657362.2
2012-QQ1,2799280,9951251.3,1035964,2088287,1632898.5
2013-QQ1,2866480,10057096.7,1025652,2120352,1621260.7
2014-QQ1,2984470,10298332.8,1038949,2153733,1635870.7
2015-QQ1,3087030,10661710.3,1087112,2201402,1663277.7
2016-QQ1,3195210,10952441.6,1122967,2231819,1704856.7
2017-QQ1,3333110,11368245,1170024,2291681,1744493
2018-QQ1,3434030,11747059.8,1212276,2355363,1777744.4
2019-QQ1,3537280,12140284.1,1253710,2432207,1804066.8
2020-QQ1,3450720,11615802.6,1129214,2318276,1670011.9
2021-QQ1,3682340,12618699.8,1235474,2508102,1842507.4
2022-QQ1,3989390,13757926.3,1375863,2653997,1998072.6
2023-QQ1,4219310,14663652.1,1497761,2826542,2142601.7
2024-QQ1,4328970,15231314.5,1594330,2919900,2199619.4
