time,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2002-01-01,83199,228561.1,6062.9,449.4,40706.3,651259.2,60802.4,3642.4,12121.4,132917.9,47742.3,350802.9,5188.2,36503.1,93343.3,269063.5,5536.8,10801.9,2416.6,2144.3,258099,43499.3,27398.3,14674.9,86187.7,10962,15234.1
2003-01-01,85878.8,225969.6,6668.2,421.2,43053,664391.9,58798.1,4002.7,12516.6,138036.2,47004.1,346569.3,5464.4,38096,81997.3,264615.6,6158.1,11754.8,2557,1991.1,261679.9,47526.4,28074,15613.8,90261.9,11285,19309.4
2004-01-01,95164.9,246697,7984.9,761.8,55459.8,731479.1,61966,4768.7,13366.2,146814.7,49457.6,363458.4,6453.8,44671.4,84241.6,284413.4,7477.7,13063.5,3223.1,2023.4,287335.9,60331.7,28769.8,18935,99097,13153.3,22304.6
2005-01-01,100620.6,268788.8,9223.3,1177.4,62784.6,780415.2,68419.6,6201.9,14856.8,154846.4,52646.6,372500.6,7069.4,50587.9,88142,299923.4,9490.1,15394.1,4148.6,1928.2,326639.7,71889.2,31137.1,22255.1,105266.4,15471.2,25632.4
2006-01-01,108913.1,292087.1,11748.1,1061.8,75604.4,882531.6,73716.1,7719,17131,170210.9,61489.2,394925,8251.6,59935.8,86592.6,332012.9,11262.8,18337,4901.9,2226.5,369249.3,88228.9,35640.5,25850.5,117706.9,18501,33339.8
2007-01-01,119387.4,314448.7,13512.1,1017.1,89381.8,964038,75280,8033.5,19317.3,184821.1,65687.6,408326.9,9004.1,69609.5,88685.5,364743.9,12509.4,16733.5,6062.3,2507.8,401900.8,102259.4,38294.1,29542.7,123179.1,21979.6,42696.5
2008-01-01,123258.8,320805.2,15204.1,1110.3,99809.1,983255,79495.9,8470.1,21227.7,191387.8,65580.2,418983,9585.1,73772.1,85476.8,369015.6,16077.1,17469.5,6897.1,2367,433721.7,115894.7,38847.3,33678.9,124644.6,23203.7,48369.7
2009-01-01,98213.7,265986,11699.5,901.5,80983.3,803011.6,67381.7,6486.9,18015.1,162990,45063.4,348035.4,7515.8,59512.4,83114.4,291733.1,11796.8,15298.8,5521.9,2048.6,356962.3,97865.5,31696.8,29084.5,93763.1,18695.4,40207.7
2010-01-01,115078.5,307529.9,15561.4,1057.7,100310.5,949629.4,72746.7,8743,21161.2,191911.9,52438.6,395087.2,8905.2,72024.3,88660.2,337407.4,15650.7,14180.3,7190.5,2704.9,433173.1,120482.6,37267.9,37398.4,119596.7,22026.9,49744
2011-01-01,127462.4,341718.2,20264.6,1306,117054.1,1058897.3,80362.1,12003.4,24242.5,220223.3,56855.2,428500.6,9582.2,80683.7,91554.5,375903.8,20150.8,14990.1,9432.7,3150.5,479239.4,135557.8,42828,45284,134312.6,24915.1,57297.3
2012-01-01,129678.5,347088.6,20770.5,1354.1,122230,1090529.8,83336.3,12520.7,27478.4,229802.3,56878,442643.4,9628.7,80611.6,92480.3,390182.1,23047.4,14658.6,10983.5,3308.1,510098,144282.4,45213,45019.5,134141.4,25033.2,62792.1
2013-01-01,131884.6,352955.7,22271.8,1520.4,122185.1,1088071,83539.4,12288.2,27223,239310.7,56047.5,437150.6,9531.4,80945.1,87933.8,390232.6,24544.6,13868.2,10892.8,2752.6,505651.5,154343.7,47302.9,49570.7,126157.4,25614.8,64514.1
2014-01-01,134172.5,355287.7,22043.6,2373.6,131798.9,1125034.2,83911.7,12083.1,27085.5,244287.2,55973.3,437785.9,10431.3,83266.1,91217.2,398870.4,24361.3,14401,11094.9,2205.6,506338.9,165714.9,48053.7,52500.5,123920.6,27075,64913.1
2015-01-01,137756.8,357771.8,22877.6,2960.8,142364.1,1195822.4,86060.3,11575.3,25753.7,254599.4,53951.3,456514.7,11663.3,88846.1,111259.1,412291.3,22903.9,15460.4,11079.9,2355,514309.1,179532.6,49634,54620.2,126258.2,28792.6,67764.5
2016-01-01,137409.9,359757.3,24021.8,2680.6,146979,1205488.8,86136.7,11896.9,25445.8,262041.3,52321.3,453075.8,12489.5,92073.2,118230.3,417268.9,22607,14259.8,11111.7,2879.2,515934.6,184171.3,50038.8,57392.4,125901.1,29742.4,69606.5
2017-01-01,148756.4,380590.4,27779.9,2904.4,161213.9,1281864.6,90756.3,12877.6,28863,283094.6,60239.2,473814.8,14201.4,100752.4,121759.7,449129,26410.5,13972.9,12351,2524.5,577087.1,207385.4,55018,62615.6,135356.9,34007.2,73790.1
2018-01-01,156428.8,396270,28495.9,4251.7,171260.2,1320732.4,92913.3,14422.4,33472.4,293458.8,64235.8,492964.1,14750.5,105572.8,139637.1,465325.4,28271,13883.4,13335.5,2704.5,615600.7,223213.1,57850,67424.5,140551.8,37423,79136.9
2019-01-01,159588.5,399841.1,29788.7,3079,177903,1330414,99237.2,14382.1,33864.5,298337,65615.5,509948.2,15350,110578.6,151515.6,480352.1,29623.5,14673.1,14023.3,2839.2,633056.9,238178.4,59902.8,68667.1,143421.1,40147.2,79962
2020-01-01,148288,369963.6,27966.9,2696.9,167597.4,1209207.7,95027.5,14273.8,30800.7,269521,57874.5,427236.2,15022.6,105428.5,157828.3,436717.8,28648.2,12113.3,14265.8,2479.4,590233.2,239213.7,53757.4,61775.6,136108.2,39246.8,75586.2
2021-01-01,171541.2,466867.6,34822.3,3367.7,191571,1376195.5,106533.2,18253,39971.5,321434.9,69471.3,494948.8,18520.8,119912.1,161204.9,520771.1,34474.9,14208.4,17650.5,2593,711069.8,288180.6,63618.5,73923,160337.1,48544.4,87868.1
2022-01-01,201398.4,607029,47508.8,4296.3,230242.7,1593593,125216.6,21734.3,55762.2,394896.9,81884.7,589710.2,24284.2,146063.7,203431.8,626169.4,44312.6,16506.2,22955.6,3101.6,917539.9,342893.9,78402.7,91972.8,187838.7,66410.6,103042.8
2023-01-01,207254.5,535177.5,44377.3,4676.2,236444.8,1574517.1,119453.8,18146,51017.4,390840,76362,602223.5,23089.7,152061.6,192695.3,625949.7,39759.9,15898.9,20904.1,3206,864928.9,352925.7,77340.1,93069.9,182728.4,67578.5,108711.9
2024-01-01,197847.7,512373.7,44249,5118,243151.9,1548966.1,123220.4,17365.7,50002.9,396086.5,72126,592226.1,24054.7,147157.4,222748.3,622607,36772.5,14967,19073.9,3495.2,850696.8,353755,78895,92674,180844.3,72927.4,106994.1
